time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/clip_fraction
1027,61,499712,824.62,486,490.27107632999997,0.8663789629936218,600,-0.033060438471875384,3.0211057662963867,0.018803082,7.392250289767981,-17.673293095827102,1.0567268133163452,0.0003,0.2,0.20869140625
1038,62,507904,841.56,489,505.3643088899999,0.8676900863647461,610,-0.03791350109895575,4.023939609527588,0.019010352,7.3804340697824955,-17.67683916091919,1.0576037168502808,0.0003,0.2,0.21201171875
1048,63,516096,837.57,491,507.91940353000007,0.6745076179504395,620,-0.03932165651985997,2.7521145343780518,0.022034593,7.804105522483587,-17.705556893348692,1.0610851049423218,0.0003,0.2,0.2640380859375
1059,64,524288,833.87,495,510.83171993000013,0.883279025554657,630,-0.03407732858249801,4.619156837463379,0.016215153,10.277988079190255,-17.749965918064117,1.0649948120117188,0.0003,0.2,0.19779052734375
1069,65,532480,835.86,497,515.91098607,0.8553562760353088,640,-0.039865124873176686,3.0437355041503906,0.02984907,6.754449273645878,-17.778078782558442,1.067088007926941,0.0003,0.2,0.29267578125
1079,66,540672,838.0,500,521.58363998,0.7693816423416138,650,-0.03521605177957099,1.8953697681427002,0.031575833,7.843628062307834,-17.80725660920143,1.0692771673202515,0.0003,0.2,0.3238525390625
1090,67,548864,835.71,503,524.41637197,0.769722580909729,660,-0.03974988401459996,1.6847728490829468,0.034653574,4.51058309301734,-17.814142560958864,1.0706039667129517,0.0003,0.2,0.3713623046875
1100,68,557056,827.43,506,522.0826927399999,0.8711962699890137,670,-0.035077840476151326,1.6049022674560547,0.021166407,6.078281274437904,-17.833428150415422,1.0728808641433716,0.0003,0.2,0.25557861328125
1111,69,565248,842.36,508,536.06965359,0.8281642198562622,680,-0.030822075103060342,7.102135181427002,0.015960505,11.461199589073658,-17.853866040706635,1.0739940404891968,0.0003,0.2,0.21922607421875
1121,70,573440,858.63,511,549.70823011,0.8836620450019836,690,-0.03763473966100719,1.7800794839859009,0.027455654,4.777540004998445,-17.856789630651473,1.073426604270935,0.0003,0.2,0.2714111328125
1131,71,581632,866.99,513,558.8326907899999,0.8790315389633179,700,-0.03986367782417801,2.826826572418213,0.02841533,5.597319284826517,-17.851018452644347,1.072888970375061,0.0003,0.2,0.32493896484375
1141,72,589824,870.85,516,564.73846456,0.9128707051277161,710,-0.042559262531722195,2.375807762145996,0.032981776,5.115917187184095,-17.88084257245064,1.0765846967697144,0.0003,0.2,0.33359375
1152,73,598016,881.64,518,575.93135999,0.8434851169586182,720,-0.03612782542622881,3.2897262573242188,0.026135612,6.9636025808751585,-17.933707112073897,1.0815447568893433,0.0003,0.2,0.28746337890625
1162,74,606208,893.61,521,587.6132037599999,0.8607428073883057,730,-0.036921806228201605,1.9895687103271484,0.025675364,5.851129473000765,-17.97682330608368,1.0862067937850952,0.0003,0.2,0.28963623046875
1173,75,614400,882.23,523,582.1204570099999,0.8028699159622192,740,-0.03884849342794041,2.2335705757141113,0.025530916,5.458979216217995,-18.022999334335328,1.0902467966079712,0.0003,0.2,0.28948974609375
1183,76,622592,865.58,525,573.53649888,0.8967164754867554,750,-0.03325358218353358,4.46611213684082,0.015168173,10.15880823135376,-18.044690108299257,1.0909053087234497,0.0003,0.2,0.18245849609375
1194,77,630784,860.67,528,573.5497896499999,0.9031999707221985,760,-0.03716280097869458,3.7983837127685547,0.017546657,8.069248846173286,-18.041764622926713,1.0907942056655884,0.0003,0.2,0.2089111328125
1204,78,638976,837.55,530,561.6446089699999,0.912536084651947,770,-0.03506118407894974,4.896967887878418,0.014499843,11.776489947736263,-18.036957627534868,1.0895613431930542,0.0003,0.2,0.17957763671875
1215,79,647168,837.76,532,563.8525205899999,0.8868953585624695,780,-0.034642840109881945,9.510787010192871,0.015653087,15.36221523731947,-18.043263804912566,1.0908483266830444,0.0003,0.2,0.205224609375
1225,80,655360,813.28,534,548.16014458,0.8645517826080322,790,-0.03816490481112851,1.314690113067627,0.025997438,7.318948630988598,-18.053829872608183,1.0924838781356812,0.0003,0.2,0.29859619140625
1236,81,663552,793.0,536,538.16988855,0.9103309512138367,800,-0.03698680165034603,6.2259416580200195,0.016804814,12.008733257651329,-18.071132403612136,1.093626856803894,0.0003,0.2,0.19615478515625
1246,82,671744,787.91,538,536.1462785,0.9218908548355103,810,-0.03971962654250092,3.603475570678711,0.019401707,10.5581750318408,-18.083979272842406,1.094408631324768,0.0003,0.2,0.2329833984375
1257,83,679936,778.44,540,531.76424392,0.874819815158844,820,-0.042948117863124934,2.2509214878082275,0.032959003,7.187868905812502,-18.106226998567582,1.0982619524002075,0.0003,0.2,0.3230712890625
