time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/std,train/entropy_loss,train/loss
425984,390.28406608000006,929,750.34,458,52,-0.041352836872829354,510,0.2,0.23292236328125,0.8538685441017151,0.0003,10.423511877655983,0.019223828,1.0304007530212402,-17.380928868055342,3.377143144607544
434176,404.37778775000004,942,767.29,460,53,-0.03904942636218038,520,0.2,0.2916015625,0.8167134523391724,0.0003,8.155966657400132,0.02636637,1.0311124324798584,-17.382291823625565,3.1662228107452393
442368,431.00431647000005,953,806.44,463,54,-0.03855980504740728,530,0.2,0.2233154296875,0.8723306655883789,0.0003,12.766458851099014,0.018211864,1.032780647277832,-17.395950269699096,4.529863357543945
450560,445.3556380899999,967,824.35,465,55,-0.04579943106800784,540,0.2,0.3498046875,0.8146408796310425,0.0003,5.692798005044461,0.03477586,1.0361347198486328,-17.435142940282823,1.890559434890747
458752,445.9838632699999,980,817.19,467,56,-0.036192858510912626,550,0.2,0.2348876953125,0.8676457405090332,0.0003,8.791356980800629,0.019704763,1.035050868988037,-17.437924444675446,3.203984260559082
466944,451.78354974999996,993,816.18,469,57,-0.0363944538126816,560,0.2,0.26007080078125,0.8668548464775085,0.0003,7.434539490193129,0.020229751,1.03830087184906,-17.462644797563552,3.141967535018921
475136,459.99653392,1007,818.26,471,58,-0.037809276193729605,570,0.2,0.19964599609375,0.8636007308959961,0.0003,10.803020790219307,0.016201833,1.0410692691802979,-17.48223931193352,5.013851642608643
483328,463.7527578,1019,818.2,473,59,-0.03965788258356042,580,0.2,0.29095458984375,0.8203940987586975,0.0003,7.873253721743822,0.026520954,1.042426586151123,-17.506582993268967,4.728199481964111
491520,476.52895623000006,1033,828.63,475,60,-0.04215020980991539,590,0.2,0.29114990234375,0.884855329990387,0.0003,5.536948525160551,0.025224246,1.0445894002914429,-17.53989968299866,2.35031795501709
499712,486.81725611999997,1046,838.83,477,61,-0.041175178869161756,600,0.2,0.43883056640625,0.7642218470573425,0.0003,3.9213511645793915,0.044417158,1.0490401983261108,-17.563441359996794,1.3685927391052246
