time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/std,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance
155,314.28,127.65433081999998,2160,335872,41,-0.04515425340796355,-17.31944982409477,0.22386474609375,0.01852591,18.371201011538506,8.118701934814453,1.0245572328567505,400,0.0003,0.2,0.8346664905548096
156,353.05,146.44694603,2193,344064,42,-0.04843971032096306,-17.310547214746475,0.26856689453125,0.023249593,15.853457510471344,6.012173652648926,1.025285243988037,410,0.0003,0.2,0.8773542046546936
158,386.6,165.17897237,2224,352256,43,-0.047236094217805655,-17.301595574617387,0.25755615234375,0.020388814,16.425858131051065,7.094512939453125,1.023363471031189,420,0.0003,0.2,0.8637199401855469
159,432.77,191.40353008,2254,360448,44,-0.04778540797560708,-17.291694420576096,0.27359619140625,0.022560418,15.0194582760334,7.7322587966918945,1.0233290195465088,430,0.0003,0.2,0.8478541374206543
161,493.72,221.81550775,2284,368640,45,-0.04502781481023703,-17.27942767739296,0.2523193359375,0.020837102,15.352381032705306,7.417374134063721,1.0217679738998413,440,0.0003,0.2,0.8546451330184937
162,517.32,238.56738588999997,2314,376832,46,-0.04386364787496859,-17.283652597665785,0.251025390625,0.021183494,17.009339636564256,6.380784511566162,1.023397445678711,450,0.0003,0.2,0.8549569249153137
164,534.56,251.61657051000006,2343,385024,47,-0.04629328541195719,-17.308827376365663,0.25885009765625,0.02118185,13.618550395965576,7.274837017059326,1.0249346494674683,460,0.0003,0.2,0.8772475719451904
165,574.58,277.09711792999997,2373,393216,48,-0.04515118720300961,-17.32231244444847,0.25657958984375,0.022819612,13.44891554415226,5.071178436279297,1.0260995626449585,470,0.0003,0.2,0.8658685684204102
167,601.63,297.90965642,2393,401408,49,-0.04312081859243335,-17.31635277271271,0.26168212890625,0.021977533,11.996688993275166,6.520617485046387,1.024069905281067,480,0.0003,0.2,0.9042000770568848
170,637.43,319.52116699,2408,409600,50,-0.04522122858033981,-17.315847462415697,0.3052001953125,0.02707861,10.582037964463234,4.79227352142334,1.0262755155563354,490,0.0003,0.2,0.8043575286865234
172,672.39,343.41674362,2423,417792,51,-0.04672622829384636,-17.353987157344818,0.3587890625,0.03304296,7.5463755682110785,2.7389674186706543,1.0298681259155273,500,0.0003,0.2,0.7738155126571655
173,695.88,360.39062718,2456,425984,52,-0.03917365664019599,-17.37544944882393,0.260009765625,0.021443313,9.825986121594905,3.854323625564575,1.0313173532485962,510,0.0003,0.2,0.8301022052764893
174,726.21,382.38710406000007,2488,434176,53,-0.04080634307101718,-17.383716374635696,0.24708251953125,0.021018948,9.544592693448067,3.938619375228882,1.0318071842193604,520,0.0003,0.2,0.8565924167633057
175,741.95,396.0833662500001,2522,442368,54,-0.042034558695741,-17.373540806770325,0.31920166015625,0.029767297,6.197735371440649,1.7230238914489746,1.0294655561447144,530,0.0003,0.2,0.8331669569015503
176,775.43,418.97873348,2554,450560,55,-0.03970715734758414,-17.40115751028061,0.27042236328125,0.022107389,8.960745571553707,2.950709819793701,1.03331458568573,540,0.0003,0.2,0.8740232586860657
177,792.0,431.9544805,2583,458752,56,-0.042958260544401126,-17.41104089617729,0.29393310546875,0.027154518,7.225028081983328,2.7991981506347656,1.034110188484192,550,0.0003,0.2,0.8496735095977783
178,817.24,450.8997121,2612,466944,57,-0.03783934923485503,-17.404988402128218,0.22828369140625,0.018827835,10.633479270339013,5.001087665557861,1.0328668355941772,560,0.0003,0.2,0.8224572539329529
179,841.66,471.17792152999994,2641,475136,58,-0.054518275859300046,-17.4303231716156,0.4684326171875,0.050078224,3.450281099230051,1.3692467212677002,1.035912036895752,570,0.0003,0.2,0.32803308963775635
180,849.97,480.27663083999994,2670,483328,59,-0.04415846810152289,-17.452660727500916,0.31087646484375,0.028663464,4.296767230331898,1.4748623371124268,1.038267970085144,580,0.0003,0.2,0.7567198276519775
182,849.82,487.7715419,2700,491520,60,-0.03516560809948714,-17.458221447467803,0.1737548828125,0.014621686,6.6988247573375705,3.471407890319824,1.0378851890563965,590,0.0003,0.2,0.8762550950050354
183,854.4,496.96715235999994,2729,499712,61,-0.035404431460483464,-17.47832092642784,0.2599609375,0.022982765,5.078094454109669,1.668393850326538,1.04037606716156,600,0.0003,0.2,0.8112738728523254
184,856.45,502.3262811999999,2760,507904,62,-0.03929524700215552,-17.506881493330003,0.1939208984375,0.017679304,5.914174991846084,2.5017921924591064,1.042637586593628,610,0.0003,0.2,0.8867279291152954
185,863.75,511.20707899000007,2787,516096,63,-0.042655018623918295,-17.554149514436723,0.34521484375,0.03379461,5.014393301308155,2.9507884979248047,1.0481683015823364,620,0.0003,0.2,0.8793970942497253
186,841.07,502.64076138999997,2813,524288,64,-0.04404485401173588,-17.595851945877076,0.33154296875,0.032025136,3.9655326426029207,1.434675693511963,1.0513314008712769,630,0.0003,0.2,0.7974190711975098
187,862.9,521.52302545,2844,532480,65,-0.02980472440685844,-17.634224021434783,0.14512939453125,0.011429087,10.314612412452698,2.4186601638793945,1.0550427436828613,640,0.0003,0.2,0.8606327772140503
188,848.66,518.74039482,2873,540672,66,-0.032029116914782205,-17.662798100709914,0.14091796875,0.012160111,10.02218920737505,3.856417417526245,1.0568716526031494,650,0.0003,0.2,0.8480658531188965
188,829.07,511.79576308000003,2904,548864,67,-0.03468208693448105,-17.676519829034806,0.17471923828125,0.015679771,9.505475872755051,4.608067512512207,1.0572096109390259,660,0.0003,0.2,0.8669267296791077
189,818.4,507.14955731999993,2937,557056,68,-0.03433274291455746,-17.68677760362625,0.16776123046875,0.01554059,10.362797006964684,5.143348693847656,1.0582739114761353,670,0.0003,0.2,0.8971609473228455
190,828.66,517.28697283,2962,565248,69,-0.034857787810324226,-17.713460004329683,0.18887939453125,0.015582558,10.205853851139546,5.678737163543701,1.0618268251419067,680,0.0003,0.2,0.8362127542495728
191,829.26,521.26891981,2996,573440,70,-0.037916627725644504,-17.75871921181679,0.36865234375,0.03857354,5.762670326977968,1.7475450038909912,1.0657216310501099,690,0.0003,0.2,0.6755356192588806
191,810.63,513.21671287,3030,581632,71,-0.03240120631817263,-17.812684404850007,0.27457275390625,0.024880026,6.386826261878014,2.131197690963745,1.070539116859436,700,0.0003,0.2,0.8493971824645996
192,803.38,514.64863607,3064,589824,72,-0.034763842847314666,-17.823201018571854,0.2068359375,0.018081632,8.977030459791422,6.443173408508301,1.0698468685150146,710,0.0003,0.2,0.8640797138214111
192,788.08,506.27225944,3099,598016,73,-0.033498915335076165,-17.82398332953453,0.158056640625,0.012825467,15.796556781232358,7.810087203979492,1.0707300901412964,720,0.0003,0.2,0.8544429540634155
193,800.03,516.4308748000001,3131,606208,74,-0.03327407079632394,-17.849689424037933,0.1653564453125,0.013195867,15.643050833046436,3.5988757610321045,1.0739610195159912,730,0.0003,0.2,0.8721144795417786
194,801.91,521.4052447500001,3153,614400,75,-0.03829634680441814,-17.8747898042202,0.25457763671875,0.022003254,9.686886341124772,3.024491310119629,1.0747613906860352,740,0.0003,0.2,0.9079174995422363
196,811.7,530.6756080500002,3166,622592,76,-0.03520643787196605,-17.878461170196534,0.23699951171875,0.020826789,9.599496622383594,4.403806209564209,1.07585608959198,750,0.0003,0.2,0.863139808177948
198,823.54,542.21579275,3179,630784,77,-0.04055052742332919,-17.885724955797194,0.40291748046875,0.041030206,5.350561138242483,1.957421064376831,1.0757437944412231,760,0.0003,0.2,0.8083562254905701
200,799.97,529.68931609,3192,638976,78,-0.032585305772227,-17.909973675012587,0.19222412109375,0.014715318,15.819075551629066,3.5099692344665527,1.0795953273773193,770,0.0003,0.2,0.8476175665855408
201,805.93,535.2498243599999,3205,647168,79,-0.03478568588179769,-17.930678170919418,0.1849365234375,0.015817396,11.438369223475457,4.811871528625488,1.0796122550964355,780,0.0003,0.2,0.9004786610603333
