time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/n_updates,train/std,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
533,663552,787.53,1243,531.8958645999999,81,0.9011573791503906,800,1.0848406553268433,6.8727107554674145,4.033870697021484,0.034848254,0.0003,-17.988463723659514,-0.04278344996200758,0.34859619140625,0.2
535,671744,781.72,1253,529.9143960299999,82,0.8306937217712402,810,1.084873080253601,7.708163296431303,2.0212066173553467,0.024200868,0.0003,-17.991608500480652,-0.03959514024099917,0.27689208984375,0.2
537,679936,773.67,1264,527.9769945200001,83,0.8881499171257019,820,1.0861618518829346,9.285708540678025,5.2011823654174805,0.02247876,0.0003,-18.007038497924803,-0.036295792106102454,0.27130126953125,0.2
539,688128,780.91,1274,536.36311736,84,0.8402402997016907,830,1.08656644821167,8.018805343657732,3.8360934257507324,0.02545251,0.0003,-18.014222037792205,-0.03798453353665536,0.286669921875,0.2
542,696320,787.82,1284,542.1521983299999,85,0.900711715221405,840,1.0881346464157104,6.850420018285513,2.1296703815460205,0.027443638,0.0003,-18.02631167769432,-0.03939654273854103,0.3012939453125,0.2
543,704512,812.16,1295,563.1711101999999,86,0.8598436117172241,850,1.092812180519104,6.388221622258425,3.2545359134674072,0.03740252,0.0003,-18.056481981277464,-0.038422320889367256,0.34656982421875,0.2
545,712704,804.52,1305,560.4029037199999,87,0.8482781052589417,860,1.0975031852722168,8.552074217051267,1.6905475854873657,0.02870237,0.0003,-18.115695422887804,-0.03372288698592456,0.31119384765625,0.2
547,720896,792.84,1316,553.84048723,88,0.8644335865974426,870,1.098770260810852,12.475165446847678,4.085461139678955,0.01766319,0.0003,-18.1415911257267,-0.03395622698044463,0.21558837890625,0.2
549,729088,797.38,1326,561.67294106,89,0.9103831052780151,880,1.099674940109253,9.16444626301527,3.8388946056365967,0.020296922,0.0003,-18.153987526893616,-0.03778508792165667,0.2346435546875,0.2
551,737280,812.09,1336,575.61157405,90,0.8472482562065125,890,1.1007333993911743,20.328886598348618,6.030045509338379,0.014614465,0.0003,-18.165586286783217,-0.033133874471968736,0.18626708984375,0.2
553,745472,812.27,1347,577.45567124,91,0.36478322744369507,900,1.1048158407211304,7.742467156052589,2.461273193359375,0.042347908,0.0003,-18.19978747367859,-0.04289280980701733,0.39234619140625,0.2
555,753664,808.03,1357,575.87561177,92,0.9071460962295532,910,1.107956051826477,7.477380786091089,3.8989243507385254,0.027138669,0.0003,-18.233445465564728,-0.040320452325977384,0.2857666015625,0.2
556,761856,830.92,1367,594.04310774,93,0.9042683243751526,920,1.1099478006362915,11.25594699382782,3.2937145233154297,0.020734346,0.0003,-18.25432996749878,-0.0361780190061836,0.2448974609375,0.2
558,770048,819.64,1378,587.83101545,94,0.7080464959144592,930,1.1122102737426758,8.808642785251141,2.6321520805358887,0.035241164,0.0003,-18.262932121753693,-0.03248863454864477,0.31143798828125,0.2
560,778240,827.59,1388,597.3835578700001,95,0.896204948425293,940,1.1123613119125366,8.584960124641658,2.301740884780884,0.022396315,0.0003,-18.284597384929658,-0.03799290576280327,0.28397216796875,0.2
562,786432,819.34,1398,592.86005806,96,0.9043468236923218,950,1.112848162651062,7.980724606662989,3.1872096061706543,0.0246302,0.0003,-18.29437740445137,-0.038593273219339606,0.28394775390625,0.2
564,794624,838.29,1408,609.3387555000002,97,0.886859655380249,960,1.1130706071853638,10.703853212296963,3.543158531188965,0.021150682,0.0003,-18.296654957532883,-0.035994085962011015,0.2390625,0.2
565,802816,841.95,1419,615.54103323,98,-0.015474319458007812,970,1.116284728050232,4.082648856937885,1.1753592491149902,0.05823525,0.0003,-18.310782372951508,-0.04477324310573749,0.49613037109375,0.2
567,811008,835.72,1429,612.89743309,99,0.8766324520111084,980,1.1177417039871216,8.08965403959155,1.910170078277588,0.019106003,0.0003,-18.339296823740007,-0.03098770199721912,0.2391357421875,0.2
568,819200,815.55,1439,598.38427931,100,0.884703516960144,990,1.1190069913864136,12.914169982075691,4.853324890136719,0.016622387,0.0003,-18.351792651414872,-0.028926255544502056,0.20006103515625,0.2
570,827392,817.56,1449,602.7577036900001,101,0.9020541906356812,1000,1.121199369430542,12.51712013632059,4.794820785522461,0.014707932,0.0003,-18.371221113204957,-0.03169693982345052,0.1689453125,0.2
572,835584,825.03,1460,610.6887180400001,102,0.8001573085784912,1010,1.1232807636260986,14.31472837626934,7.247057914733887,0.0150784515,0.0003,-18.388355445861816,-0.0333543546978035,0.17435302734375,0.2
573,843776,805.86,1470,598.9079047600001,103,0.7859868407249451,1020,1.1261850595474243,14.08192815631628,5.3158392906188965,0.016889893,0.0003,-18.416824328899384,-0.0305423226505809,0.23424072265625,0.2
575,851968,813.9,1480,606.7517264499999,104,0.8974213600158691,1030,1.1277495622634888,7.805073373019695,1.4317935705184937,0.024984814,0.0003,-18.441948032379152,-0.0396016096805397,0.29365234375,0.2
576,860160,791.59,1490,589.44234008,105,0.9120633006095886,1040,1.1320128440856934,7.6021922416985035,3.256840944290161,0.029628985,0.0003,-18.48342318534851,-0.039130562409991396,0.3215576171875,0.2
578,868352,790.48,1501,590.48692611,106,0.9097741842269897,1050,1.1336774826049805,13.59726228863001,10.998927116394043,0.016120808,0.0003,-18.51391934156418,-0.03278744426934281,0.20565185546875,0.2
579,876544,789.66,1511,590.85532859,107,0.8900443315505981,1060,1.1338353157043457,11.360623301565647,4.395046234130859,0.01979683,0.0003,-18.515664517879486,-0.035995019681286065,0.21502685546875,0.2
581,884736,804.14,1521,604.4592556700002,108,0.7333736419677734,1070,1.1388341188430786,7.203410544991494,2.089855432510376,0.057633184,0.0003,-18.5415549993515,-0.03342099638975924,0.39378662109375,0.2
582,892928,790.53,1531,595.7615548800001,109,0.8784313797950745,1080,1.1393299102783203,7.631105565279722,2.194486618041992,0.028879559,0.0003,-18.571663320064545,-0.02853537874252652,0.3259033203125,0.2
584,901120,796.46,1541,600.65303493,110,0.8967972993850708,1090,1.1425203084945679,11.610831466317176,3.4845244884490967,0.019233521,0.0003,-18.594802808761596,-0.03449659206380602,0.24354248046875,0.2
585,909312,795.46,1552,600.88033267,111,0.8670145869255066,1100,1.144522786140442,19.77350086271763,9.95970344543457,0.018952072,0.0003,-18.620795398950577,-0.031808649539743786,0.214013671875,0.2
587,917504,772.71,1562,584.38347171,112,0.8106420040130615,1110,1.1489537954330444,4.643949736654759,1.9462405443191528,0.05797659,0.0003,-18.664949822425843,-0.0342931659106398,0.453759765625,0.2
588,925696,778.42,1572,590.21221813,113,0.909850001335144,1120,1.1522406339645386,14.764025002717972,6.262125492095947,0.012678402,0.0003,-18.688851660490037,-0.029588360065827147,0.1753173828125,0.2
590,933888,788.56,1582,600.63462087,114,0.8626436591148376,1130,1.1548936367034912,14.512565563619138,2.6065847873687744,0.017665539,0.0003,-18.720972454547884,-0.030830351345503004,0.209912109375,0.2
591,942080,776.69,1592,592.8918866600001,115,0.88858962059021,1140,1.1579376459121704,15.00189940854907,3.628211259841919,0.019538047,0.0003,-18.754007703065874,-0.032746439458423995,0.19617919921875,0.2
592,950272,763.43,1602,583.76404948,116,0.8538159728050232,1150,1.1597834825515747,14.923351642489433,5.068429470062256,0.02008747,0.0003,-18.777142798900606,-0.03294535673339851,0.2158447265625,0.2
594,958464,745.67,1612,570.8511346500001,117,0.8220746517181396,1160,1.1593962907791138,16.368507981300354,7.342321395874023,0.02193705,0.0003,-18.785243022441865,-0.033730858255876225,0.28162841796875,0.2
595,966656,763.75,1623,584.55805781,118,0.8565728068351746,1170,1.16399347782135,8.57803599908948,3.2433931827545166,0.031333532,0.0003,-18.811465126276016,-0.036121278286736926,0.3271484375,0.2
596,974848,772.93,1633,592.5706119499999,119,0.8811954855918884,1180,1.1664645671844482,16.103897127509118,7.504830360412598,0.016990552,0.0003,-18.838984179496766,-0.0339203212846769,0.21861572265625,0.2
598,983040,757.13,1643,581.7767296399999,120,-0.00923013687133789,1190,1.1753344535827637,4.175975995510816,1.8785357475280762,0.060074225,0.0003,-18.916448414325714,-0.03803038415644551,0.51893310546875,0.2
599,991232,761.64,1653,585.73359167,121,0.8834206461906433,1200,1.177862524986267,14.967331039905549,6.246830463409424,0.011495126,0.0003,-18.95772451758385,-0.027479325195599813,0.1722900390625,0.2
600,999424,779.28,1663,600.58724887,122,0.8848094940185547,1210,1.1818479299545288,12.69459912776947,6.14717960357666,0.013618257,0.0003,-18.990988278388976,-0.03147570513538085,0.16748046875,0.2
601,1007616,743.64,1674,573.1823709500001,123,0.8730536699295044,1220,1.1856759786605835,9.804327926039695,6.753511428833008,0.02726705,0.0003,-19.036283296346664,-0.03153873554692836,0.26221923828125,0.2
603,1015808,749.03,1684,577.15065459,124,0.9018017649650574,1230,1.1888588666915894,22.990365207195282,12.309803009033203,0.012890283,0.0003,-19.064517015218733,-0.03128003953606821,0.17744140625,0.2
604,1024000,735.23,1694,565.58074859,125,0.8830117583274841,1240,1.190459132194519,17.90371359139681,8.7316312789917,0.014155311,0.0003,-19.085880053043365,-0.03368916690378683,0.17723388671875,0.2
605,1032192,746.07,1704,574.59230553,126,0.8753153085708618,1250,1.1931382417678833,29.341007363796233,14.485053062438965,0.012946857,0.0003,-19.10490440130234,-0.032049760137306295,0.14803466796875,0.2
