time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/value_loss,train/std
1323,817.9,557,737280,564.4564283899999,90,0.8684372901916504,0.2,0.0003,-18.160701686143874,0.03631143,0.34251708984375,890,-0.033433598290139345,1.6256349086761475,6.269116906821727,1.1016281843185425
1333,792.67,558,745472,550.81371661,91,0.8099000453948975,0.2,0.0003,-18.177351051568984,0.015950363,0.19534912109375,900,-0.0288239834129854,4.19198751449585,12.650025890767575,1.102971076965332
1343,831.89,560,753664,581.89077899,92,0.8939222097396851,0.2,0.0003,-18.20235134959221,0.01240919,0.1593017578125,910,-0.02977939997508656,10.72115421295166,17.013211280107498,1.1062331199645996
1354,827.69,562,761856,580.36926193,93,0.2865678071975708,0.2,0.0003,-18.243527317047118,0.029680882,0.30740966796875,920,-0.03885890719393501,2.5376462936401367,8.13744762390852,1.1107227802276611
1364,836.59,564,770048,587.72159012,94,0.867324948310852,0.2,0.0003,-18.27968561053276,0.015230129,0.1746337890625,930,-0.03191280866594752,6.364648342132568,13.458770987391471,1.1131870746612549
1374,839.71,566,778240,592.4515711299999,95,0.8759855031967163,0.2,0.0003,-18.296390372514725,0.019375652,0.1985107421875,940,-0.03126672202342888,6.423555374145508,10.768891827762127,1.1139966249465942
1384,811.64,567,786432,574.89002494,96,0.8247808218002319,0.2,0.0003,-18.283879739046096,0.015012031,0.19051513671875,950,-0.033148019175132507,7.653453826904297,18.8905823007226,1.111901879310608
1395,778.9,569,794624,552.84566431,97,0.8800181150436401,0.2,0.0003,-18.302916425466538,0.014147022,0.1693359375,960,-0.03365141858812422,10.844114303588867,20.92374663800001,1.1159497499465942
1405,755.18,571,802816,537.3454851199999,98,0.9052489399909973,0.2,0.0003,-18.347713142633438,0.018079394,0.221337890625,970,-0.039318611881390096,3.928525686264038,15.162778687477111,1.1199811697006226
1415,748.62,572,811008,534.30073968,99,0.8706905841827393,0.2,0.0003,-18.36725969314575,0.017681327,0.202490234375,980,-0.03637496424198616,9.52013874053955,16.978860338032245,1.120862364768982
1426,768.87,574,819200,549.81956991,100,0.8996989727020264,0.2,0.0003,-18.390058249235153,0.020917008,0.26019287109375,990,-0.036790014900179815,10.30213451385498,13.101971724629403,1.123893141746521
1436,742.01,575,827392,529.5018706300001,101,0.7149639129638672,0.2,0.0003,-18.41564759016037,0.055183686,0.45655517578125,1000,-0.03211683114641346,2.0810658931732178,6.175363558530807,1.1255311965942383
1446,742.27,577,835584,531.9592700400001,102,0.9069085121154785,0.2,0.0003,-18.439597767591476,0.017278222,0.22415771484375,1010,-0.037158686832117385,7.928349494934082,12.902594846487045,1.1286126375198364
1457,752.59,579,843776,542.78339619,103,0.8633636236190796,0.2,0.0003,-18.485269939899446,0.062150214,0.48209228515625,1020,-0.03477259747160133,1.175260066986084,4.892364364862442,1.1324641704559326
1468,728.58,580,851968,526.64351512,104,0.8406121730804443,0.2,0.0003,-18.515461093187334,0.031577878,0.3396240234375,1030,-0.038880800235347124,1.7002499103546143,4.293278803676367,1.1358181238174438
1478,741.03,581,860160,536.66623517,105,0.8677178621292114,0.2,0.0003,-18.537659305334092,0.012907518,0.16810302734375,1040,-0.029681732323660982,7.147645950317383,19.196372902393342,1.13764488697052
1489,766.76,583,868352,557.9715912199999,106,0.8787317872047424,0.2,0.0003,-18.544565695524216,0.018018533,0.2118408203125,1050,-0.030935504235094412,3.8272054195404053,9.438432566821575,1.137351155281067
1499,754.58,584,876544,549.81695601,107,0.24553918838500977,0.2,0.0003,-18.569555801153182,0.04902921,0.4532958984375,1060,-0.042646986609543094,1.6452107429504395,4.004263550788164,1.1414068937301636
1510,746.07,585,884736,544.8539703900001,108,0.8701616525650024,0.2,0.0003,-18.595999711751936,0.011158759,0.160693359375,1070,-0.027978737329976865,5.620376110076904,17.325773283839226,1.1437819004058838
1520,753.82,587,892928,554.24784109,109,0.9168479442596436,0.2,0.0003,-18.617474228143692,0.0114605455,0.13553466796875,1080,-0.03044773514557164,6.395704746246338,16.643853548169137,1.1446388959884644
1530,770.02,588,901120,569.14326284,110,0.13298124074935913,0.2,0.0003,-18.653585338592528,0.04791102,0.43616943359375,1090,-0.04636787937779445,0.9953203201293945,3.5731339238584043,1.1505061388015747
1541,753.49,589,909312,558.1345757,111,0.9111119508743286,0.2,0.0003,-18.685303646326066,0.014456743,0.19337158203125,1100,-0.032062681753814104,4.233320713043213,7.643827089667321,1.1509759426116943
1551,724.73,591,917504,534.6267048499999,112,0.895506739616394,0.2,0.0003,-18.702199947834014,0.010958073,0.1340576171875,1110,-0.029577163279464004,10.097206115722656,22.341415694355966,1.1534051895141602
1562,764.95,592,925696,567.2890244499999,113,0.9059522151947021,0.2,0.0003,-18.72466262578964,0.012180575,0.12969970703125,1120,-0.030680125568324,10.548722267150879,21.890144860744478,1.1555856466293335
1572,745.39,593,933888,552.89570193,114,0.8211418986320496,0.2,0.0003,-18.74643123149872,0.036058955,0.33321533203125,1130,-0.039493746580410515,1.5332106351852417,5.113130880892276,1.1574121713638306
1583,743.17,595,942080,551.3681670499999,115,0.9044143557548523,0.2,0.0003,-18.777148878574373,0.011051469,0.15933837890625,1140,-0.02945326421140635,14.645974159240723,25.634122332930566,1.161023497581482
